srniel_damage_rank,formula,material_id,parameter,ddde_mev_per_g,ddde_to_p_mev_per_g,dddp_mev_per_g,rf_min_pct,rf_mid_pct,rf_max_pct,grf_min_pct,grf_mid_pct,grf_max_pct,has_fallback_ed,density_g_cm3,manifest_density_g_cm3,density_matches_manifest,active_layer_name,active_layer_formula,electron_niel_file,proton_niel_file,electron_niel_matches_candidate,proton_niel_matches_candidate,omere_status,validated_candidate_layer,source_file
5,Ag2Te,JVASP-108812,Voc,8958280.0,4136140.0,565901000.0,96.6501,96.6501,96.6501,,,,False,7.528,7.528,True,Ag2Te,Ag2Te,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_e_Ag2Te_JVASP-108812.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_p_Ag2Te_JVASP-108812.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/05_Ag2Te_JVASP-108812.dat
5,Ag2Te,JVASP-108812,Pmax,8958280.0,4839070.0,565901000.0,98.0594,98.0594,98.0594,97.9784,97.9784,97.9784,False,7.528,7.528,True,Ag2Te,Ag2Te,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_e_Ag2Te_JVASP-108812.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_p_Ag2Te_JVASP-108812.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/05_Ag2Te_JVASP-108812.dat
5,Ag2Te,JVASP-108812,Ipm,8958280.0,8958280.0,565901000.0,99.7445,99.7445,99.7445,99.6621,99.6621,99.6621,False,7.528,7.528,True,Ag2Te,Ag2Te,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_e_Ag2Te_JVASP-108812.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_p_Ag2Te_JVASP-108812.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/05_Ag2Te_JVASP-108812.dat
5,Ag2Te,JVASP-108812,Vpm,8958280.0,1768650.0,565901000.0,95.3539,95.3539,95.3539,,,,False,7.528,7.528,True,Ag2Te,Ag2Te,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_e_Ag2Te_JVASP-108812.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104314\candidate_niel\NIEL_p_Ag2Te_JVASP-108812.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/05_Ag2Te_JVASP-108812.dat
6,PtI2,JVASP-12896,Isc,46942600.0,46942600.0,543452000.0,99.8203,99.8203,99.8203,99.7379,99.7379,99.7379,False,7.546,7.546,True,PtI2,PtI2,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_e_PtI2_JVASP-12896.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_p_PtI2_JVASP-12896.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/06_PtI2_JVASP-12896.dat
6,PtI2,JVASP-12896,Voc,46942600.0,21673900.0,543452000.0,96.6661,96.6661,96.6661,,,,False,7.546,7.546,True,PtI2,PtI2,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_e_PtI2_JVASP-12896.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_p_PtI2_JVASP-12896.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/06_PtI2_JVASP-12896.dat
6,PtI2,JVASP-12896,Pmax,46942600.0,25357400.0,543452000.0,98.0655,98.0655,98.0655,97.9845,97.9845,97.9845,False,7.546,7.546,True,PtI2,PtI2,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_e_PtI2_JVASP-12896.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_p_PtI2_JVASP-12896.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/06_PtI2_JVASP-12896.dat
6,PtI2,JVASP-12896,Ipm,46942600.0,46942600.0,543452000.0,99.7376,99.7376,99.7376,99.6552,99.6552,99.6552,False,7.546,7.546,True,PtI2,PtI2,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_e_PtI2_JVASP-12896.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_p_PtI2_JVASP-12896.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/06_PtI2_JVASP-12896.dat
6,PtI2,JVASP-12896,Vpm,46942600.0,9267960.0,543452000.0,95.4129,95.4129,95.4129,,,,False,7.546,7.546,True,PtI2,PtI2,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_e_PtI2_JVASP-12896.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104450\candidate_niel\NIEL_p_PtI2_JVASP-12896.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/06_PtI2_JVASP-12896.dat
7,NbBi3O7,JVASP-13254,Isc,548891000.0,548891000.0,558235000.0,99.6637,99.6637,99.6637,99.5814,99.5814,99.5814,False,8.354,8.354,True,NbBi3O7,NbBi3O7,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_e_NbBi3O7_JVASP-13254.dat,C:\LUMENS\sadc_edit_active_pilot_20260523_104628\candidate_niel\NIEL_p_NbBi3O7_JVASP-13254.dat,True,True,completed_validated,True,radiation_degradation/omere_sadc_outputs_final_materials_20260523/outputs/07_NbBi3O7_JVASP-13254.dat
