formula,material_id,particle,energy_MeV,niel_MeV_cm2_g,source_file
Ag2Te,JVASP-108812,proton,0.002,0.52859,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0025,0.62742,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.003,0.68986,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0035,0.73017,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.004,0.75618,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0045,0.77253,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.005,0.78218,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0055,0.78706,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.006,0.78847,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0065,0.78735,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.007,0.78436,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0075,0.77997,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.008,0.77455,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0085,0.76837,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.009,0.76163,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.0095,0.75448,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.01,0.74705,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.015,0.6704,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.02,0.60325,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.025,0.54799,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.03,0.50244,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.035,0.46443,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.04,0.43225,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.045,0.40465,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.05,0.38071,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.055,0.35972,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.06,0.34116,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.065,0.32461,Ag2Te_JVASP-108812_p_srniel.csv
Ag2Te,JVASP-108812,proton,0.07,0.30975,Ag2Te_JVASP-108812_p_srniel.csv
