formula,material_id,particle,status,result_url,omere_dat,raw_curve_csv,elements,stoichiometry,ed_eV,has_fallback_ed,payload_json,error
Ca3SnH2,JVASP-37879,electron,ok,http://www.sr-niel.org/Simulation/475533niel_e.html,omere_inputs/Ca3SnH2_JVASP-37879_e_NIEL.dat,raw_srniel_tables/Ca3SnH2_JVASP-37879_e_srniel.csv,Ca;Sn;H,3;1;2,6.884;20.699;1.517,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""3"", ""Stoich1"": ""3"", ""Stoich2"": ""1"", ""Stoich3"": ""2"", ""TARGET"": ""0"", ""Th1"": ""6.884"", ""Th2"": ""20.699"", ""Th3"": ""1.517"", ""Z1"": ""20"", ""Z2"": ""50"", ""Z3"": ""1"", ""formSubmit"": ""CALCULATE""}",
Ca3SnH2,JVASP-37879,proton,ok,http://www.sr-niel.org/Simulation/182135niel_p.html,omere_inputs/Ca3SnH2_JVASP-37879_p_NIEL.dat,raw_srniel_tables/Ca3SnH2_JVASP-37879_p_srniel.csv,Ca;Sn;H,3;1;2,6.884;20.699;1.517,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""3"", ""Scale"": ""0"", ""Stoich1"": ""3"", ""Stoich2"": ""1"", ""Stoich3"": ""2"", ""TARGET"": ""0"", ""Th1"": ""6.884"", ""Th2"": ""20.699"", ""Th3"": ""1.517"", ""Z1"": ""20"", ""Z2"": ""50"", ""Z3"": ""1"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
CaSnS3,JVASP-40190,electron,ok,http://www.sr-niel.org/Simulation/222715niel_e.html,omere_inputs/CaSnS3_JVASP-40190_e_NIEL.dat,raw_srniel_tables/CaSnS3_JVASP-40190_e_srniel.csv,Ca;Sn;S,1;1;3,5.795;12;7.6,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""3"", ""Stoich1"": ""1"", ""Stoich2"": ""1"", ""Stoich3"": ""3"", ""TARGET"": ""0"", ""Th1"": ""5.795"", ""Th2"": ""12"", ""Th3"": ""7.6"", ""Z1"": ""20"", ""Z2"": ""50"", ""Z3"": ""16"", ""formSubmit"": ""CALCULATE""}",
CaSnS3,JVASP-40190,proton,ok,http://www.sr-niel.org/Simulation/406615niel_p.html,omere_inputs/CaSnS3_JVASP-40190_p_NIEL.dat,raw_srniel_tables/CaSnS3_JVASP-40190_p_srniel.csv,Ca;Sn;S,1;1;3,5.795;12;7.6,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""3"", ""Scale"": ""0"", ""Stoich1"": ""1"", ""Stoich2"": ""1"", ""Stoich3"": ""3"", ""TARGET"": ""0"", ""Th1"": ""5.795"", ""Th2"": ""12"", ""Th3"": ""7.6"", ""Z1"": ""20"", ""Z2"": ""50"", ""Z3"": ""16"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
Cd2GaAgSe4,JVASP-108799,electron,ok,http://www.sr-niel.org/Simulation/469740niel_e.html,omere_inputs/Cd2GaAgSe4_JVASP-108799_e_NIEL.dat,raw_srniel_tables/Cd2GaAgSe4_JVASP-108799_e_srniel.csv,Cd;Ga;Ag;Se,2;1;1;4,14.814;2.202;5.875;25.628,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""4"", ""Stoich1"": ""2"", ""Stoich2"": ""1"", ""Stoich3"": ""1"", ""Stoich4"": ""4"", ""TARGET"": ""0"", ""Th1"": ""14.814"", ""Th2"": ""2.202"", ""Th3"": ""5.875"", ""Th4"": ""25.628"", ""Z1"": ""48"", ""Z2"": ""31"", ""Z3"": ""47"", ""Z4"": ""34"", ""formSubmit"": ""CALCULATE""}",
Cd2GaAgSe4,JVASP-108799,proton,ok,http://www.sr-niel.org/Simulation/876729niel_p.html,omere_inputs/Cd2GaAgSe4_JVASP-108799_p_NIEL.dat,raw_srniel_tables/Cd2GaAgSe4_JVASP-108799_p_srniel.csv,Cd;Ga;Ag;Se,2;1;1;4,14.814;2.202;5.875;25.628,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""4"", ""Scale"": ""0"", ""Stoich1"": ""2"", ""Stoich2"": ""1"", ""Stoich3"": ""1"", ""Stoich4"": ""4"", ""TARGET"": ""0"", ""Th1"": ""14.814"", ""Th2"": ""2.202"", ""Th3"": ""5.875"", ""Th4"": ""25.628"", ""Z1"": ""48"", ""Z2"": ""31"", ""Z3"": ""47"", ""Z4"": ""34"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
CoC4N6,JVASP-59765,electron,ok,http://www.sr-niel.org/Simulation/840961niel_e.html,omere_inputs/CoC4N6_JVASP-59765_e_NIEL.dat,raw_srniel_tables/CoC4N6_JVASP-59765_e_srniel.csv,Co;C;N,1;4;6,22;37;22,True,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""3"", ""Stoich1"": ""1"", ""Stoich2"": ""4"", ""Stoich3"": ""6"", ""TARGET"": ""0"", ""Th1"": ""22"", ""Th2"": ""37"", ""Th3"": ""22"", ""Z1"": ""27"", ""Z2"": ""6"", ""Z3"": ""7"", ""formSubmit"": ""CALCULATE""}",
CoC4N6,JVASP-59765,proton,ok,http://www.sr-niel.org/Simulation/951159niel_p.html,omere_inputs/CoC4N6_JVASP-59765_p_NIEL.dat,raw_srniel_tables/CoC4N6_JVASP-59765_p_srniel.csv,Co;C;N,1;4;6,22;37;22,True,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""3"", ""Scale"": ""0"", ""Stoich1"": ""1"", ""Stoich2"": ""4"", ""Stoich3"": ""6"", ""TARGET"": ""0"", ""Th1"": ""22"", ""Th2"": ""37"", ""Th3"": ""22"", ""Z1"": ""27"", ""Z2"": ""6"", ""Z3"": ""7"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
CrO3,JVASP-44469,electron,ok,http://www.sr-niel.org/Simulation/531764niel_e.html,omere_inputs/CrO3_JVASP-44469_e_NIEL.dat,raw_srniel_tables/CrO3_JVASP-44469_e_srniel.csv,Cr;O,1;3,11.925;2.921,False,"{""AddEnergy"": """", ""Emax"": ""100"", ""Emin"": ""0.04"", ""FF"": ""0"", ""Fluence"": ""1"", ""NELEM"": ""2"", ""Stoich1"": ""1"", ""Stoich2"": ""3"", ""TARGET"": ""0"", ""Th1"": ""11.925"", ""Th2"": ""2.921"", ""Z1"": ""24"", ""Z2"": ""8"", ""formSubmit"": ""CALCULATE""}",
CrO3,JVASP-44469,proton,ok,http://www.sr-niel.org/Simulation/535077niel_p.html,omere_inputs/CrO3_JVASP-44469_p_NIEL.dat,raw_srniel_tables/CrO3_JVASP-44469_p_srniel.csv,Cr;O,1;3,11.925;2.921,False,"{""AddEnergy"": """", ""Emax"": ""10000"", ""Emin"": ""0.0001"", ""Fluence"": ""1"", ""Ionmodel"": ""1"", ""NELEM"": ""2"", ""Scale"": ""0"", ""Stoich1"": ""1"", ""Stoich2"": ""3"", ""TARGET"": ""0"", ""Th1"": ""11.925"", ""Th2"": ""2.921"", ""Z1"": ""24"", ""Z2"": ""8"", ""Zi"": ""1"", ""formSubmit"": ""CALCULATE""}",
