formula,material_id,element,recommended_ed_eV,aggregation_mode,weighted_mean_ed_eV,minimum_ed_eV,maximum_ed_eV,inequivalent_site_count,structure_source,ed_mode,status,error
HgSO4,JVASP-9390,S,3.01,min,3.01,3.01,3.01,1,jarvis_relaxed_input+idealized,static,ok,
HgSO4,JVASP-9390,O,2.315,min,2.315,2.315,2.315,1,jarvis_relaxed_input+idealized,static,ok,
HoSO,JVASP-46072,Ho,9.0,min,9.0,9.0,9.0,1,material_level_fallback_no_qe_result,static,ok,
HoSO,JVASP-46072,S,7.6,min,7.6,7.6,7.6,1,material_level_fallback_no_qe_result,static,ok,
HoSO,JVASP-46072,O,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
InAgS2,JVASP-12383,In,39.49,min,39.49,39.49,39.49,1,jarvis_relaxed_input+idealized,static,ok,
InAgS2,JVASP-12383,Ag,2.877,min,2.877,2.877,2.877,1,jarvis_relaxed_input+idealized,static,ok,
InAgS2,JVASP-12383,S,9.262,min,9.262,9.262,9.262,1,jarvis_relaxed_input+idealized,static,ok,
InN,JVASP-17841,In,60.643,min,60.643,60.643,60.643,1,jarvis_relaxed_input+idealized,static,ok,
InN,JVASP-17841,N,52.307,min,52.307,52.307,52.307,1,jarvis_relaxed_input+idealized,static,ok,
InS,JVASP-51076,In,11.529,min,11.529,11.529,11.529,1,jarvis_relaxed_input+idealized,static,ok,
InS,JVASP-51076,S,3.526,min,3.526,3.526,3.526,1,jarvis_relaxed_input+idealized,static,ok,
KNO3,JVASP-53146,K,3.45,min,3.45,3.45,3.45,1,jarvis_relaxed_input+idealized,static,ok,
KNO3,JVASP-53146,N,3.834,min,3.834,3.834,3.834,1,jarvis_relaxed_input+idealized,static,ok,
KNO3,JVASP-53146,O,3.342,min,3.342,3.342,3.342,1,jarvis_relaxed_input+idealized,static,ok,
KP,JVASP-10123,K,12.274,min,12.274,12.274,12.274,1,jarvis_relaxed_input+idealized,static,ok,
KP,JVASP-10123,P,12.243,min,12.243,12.243,12.243,1,jarvis_relaxed_input+idealized,static,ok,
Li3VB2O6,JVASP-40731,Li,12.0,min,12.0,12.0,12.0,1,material_level_fallback_no_qe_result,static,ok,
Li3VB2O6,JVASP-40731,V,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
Li3VB2O6,JVASP-40731,B,22.0,min,22.0,22.0,22.0,1,material_level_fallback_no_qe_result,static,ok,
Li3VB2O6,JVASP-40731,O,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
Mg2Mo3O8,JVASP-19255,Mg,10.0,min,10.0,10.0,10.0,1,material_level_fallback_no_qe_result,static,ok,
Mg2Mo3O8,JVASP-19255,Mo,33.0,min,33.0,33.0,33.0,1,material_level_fallback_no_qe_result,static,ok,
Mg2Mo3O8,JVASP-19255,O,28.0,min,28.0,28.0,28.0,1,material_level_fallback_no_qe_result,static,ok,
MgCu2O4,JVASP-9884,Mg,6.26,min,6.26,6.26,6.26,1,jarvis_relaxed_input+idealized,static,ok,
MgCu2O4,JVASP-9884,Cu,3.435,min,3.435,3.435,3.435,1,jarvis_relaxed_input+idealized,static,ok,
MgCu2O4,JVASP-9884,O,3.802,min,3.802,3.802,3.802,1,jarvis_relaxed_input+idealized,static,ok,
MgCu2O4,JVASP-9908,Mg,15.298,min,15.298,15.298,15.298,1,jarvis_relaxed_input+idealized,static,ok,
MgCu2O4,JVASP-9908,Cu,8.614,min,8.614,8.614,8.614,1,jarvis_relaxed_input+idealized,static,ok,
MgCu2O4,JVASP-9908,O,4.661,min,4.661,4.661,4.661,1,jarvis_relaxed_input+idealized,static,ok,
MoH2O4,JVASP-54713,Mo,2.272,min,2.272,2.272,2.272,1,jarvis_relaxed_input+idealized,static,ok,
MoH2O4,JVASP-54713,H,1.679,min,1.679,1.679,1.679,1,jarvis_relaxed_input+idealized,static,ok,
MoH2O4,JVASP-54713,O,6.718,min,6.718,6.718,6.718,1,jarvis_relaxed_input+idealized,static,ok,
MoWSe2S2,JVASP-28698,Mo,33.0,min,33.0,33.0,33.0,1,material_level_fallback_no_qe_result,static,ok,
MoWSe2S2,JVASP-28698,W,55.0,min,55.0,55.0,55.0,1,material_level_fallback_no_qe_result,static,ok,
MoWSe2S2,JVASP-28698,Se,7.4,min,7.4,7.4,7.4,1,material_level_fallback_no_qe_result,static,ok,
MoWSe2S2,JVASP-28698,S,7.6,min,7.6,7.6,7.6,1,material_level_fallback_no_qe_result,static,ok,
Na2GaNiF7,JVASP-57312,Na,8.0,min,8.0,8.0,8.0,1,material_level_fallback_no_qe_result,static,ok,
Na2GaNiF7,JVASP-57312,Ga,9.4,min,9.4,9.4,9.4,1,material_level_fallback_no_qe_result,static,ok,
Na2GaNiF7,JVASP-57312,Ni,23.0,min,23.0,23.0,23.0,1,material_level_fallback_no_qe_result,static,ok,
Na2GaNiF7,JVASP-57312,F,15.0,min,15.0,15.0,15.0,1,material_level_fallback_no_qe_result,static,ok,
