srniel_damage_rank,formula,material_id,has_fallback_ed,density_g_cm3,density_source,cell_json,mission_json,electron_niel,proton_niel,cell_template,degradation_coefficients,sadc_status
21,BaAlSi,JVASP-17183,False,3.797,JARVIS-DFT density field,sadc_input_bundles/21_BaAlSi_JVASP-17183/Cell.json,sadc_input_bundles/21_BaAlSi_JVASP-17183/Mission.json,sadc_input_bundles/21_BaAlSi_JVASP-17183/niel/electron_NIEL.dat,sadc_input_bundles/21_BaAlSi_JVASP-17183/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
22,GaAgTeSe,JVASP-109402,False,5.623,JARVIS-DFT density field,sadc_input_bundles/22_GaAgTeSe_JVASP-109402/Cell.json,sadc_input_bundles/22_GaAgTeSe_JVASP-109402/Mission.json,sadc_input_bundles/22_GaAgTeSe_JVASP-109402/niel/electron_NIEL.dat,sadc_input_bundles/22_GaAgTeSe_JVASP-109402/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
23,Ag3PO4,JVASP-9585,False,6.284,JARVIS-DFT density field,sadc_input_bundles/23_Ag3PO4_JVASP-9585/Cell.json,sadc_input_bundles/23_Ag3PO4_JVASP-9585/Mission.json,sadc_input_bundles/23_Ag3PO4_JVASP-9585/niel/electron_NIEL.dat,sadc_input_bundles/23_Ag3PO4_JVASP-9585/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
24,SrZrS3,JVASP-21271,False,3.859,JARVIS-DFT density field,sadc_input_bundles/24_SrZrS3_JVASP-21271/Cell.json,sadc_input_bundles/24_SrZrS3_JVASP-21271/Mission.json,sadc_input_bundles/24_SrZrS3_JVASP-21271/niel/electron_NIEL.dat,sadc_input_bundles/24_SrZrS3_JVASP-21271/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
25,P2Se5,JVASP-5590,False,4.029,JARVIS-DFT density field,sadc_input_bundles/25_P2Se5_JVASP-5590/Cell.json,sadc_input_bundles/25_P2Se5_JVASP-5590/Mission.json,sadc_input_bundles/25_P2Se5_JVASP-5590/niel/electron_NIEL.dat,sadc_input_bundles/25_P2Se5_JVASP-5590/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
26,Rb2As3,JVASP-11390,False,3.757,JARVIS-DFT density field,sadc_input_bundles/26_Rb2As3_JVASP-11390/Cell.json,sadc_input_bundles/26_Rb2As3_JVASP-11390/Mission.json,sadc_input_bundles/26_Rb2As3_JVASP-11390/niel/electron_NIEL.dat,sadc_input_bundles/26_Rb2As3_JVASP-11390/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
27,ScS,JVASP-19725,False,3.609,JARVIS-DFT density field,sadc_input_bundles/27_ScS_JVASP-19725/Cell.json,sadc_input_bundles/27_ScS_JVASP-19725/Mission.json,sadc_input_bundles/27_ScS_JVASP-19725/niel/electron_NIEL.dat,sadc_input_bundles/27_ScS_JVASP-19725/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
28,BaH2O4,JVASP-54745,False,4.138,JARVIS-DFT density field,sadc_input_bundles/28_BaH2O4_JVASP-54745/Cell.json,sadc_input_bundles/28_BaH2O4_JVASP-54745/Mission.json,sadc_input_bundles/28_BaH2O4_JVASP-54745/niel/electron_NIEL.dat,sadc_input_bundles/28_BaH2O4_JVASP-54745/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
29,GaAgP2Se6,JVASP-27498,False,4.919,JARVIS-DFT density field,sadc_input_bundles/29_GaAgP2Se6_JVASP-27498/Cell.json,sadc_input_bundles/29_GaAgP2Se6_JVASP-27498/Mission.json,sadc_input_bundles/29_GaAgP2Se6_JVASP-27498/niel/electron_NIEL.dat,sadc_input_bundles/29_GaAgP2Se6_JVASP-27498/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
30,Ca3SnH2,JVASP-37879,False,3.071,JARVIS-DFT density field,sadc_input_bundles/30_Ca3SnH2_JVASP-37879/Cell.json,sadc_input_bundles/30_Ca3SnH2_JVASP-37879/Mission.json,sadc_input_bundles/30_Ca3SnH2_JVASP-37879/niel/electron_NIEL.dat,sadc_input_bundles/30_Ca3SnH2_JVASP-37879/niel/proton_NIEL.dat,OMERE SADC Generic_GaAs_cell-like layer stack,OMERE sample GaAs template; replace for publishable novel-material EOL,ready_for_real_sadc_executable
